i,date,decision,p_buy,p_sell,p_hold
2546,2024-12-31,BUY,0.696661,0.125272,0.178067
2547,2025-01-01,BUY,0.682354,0.141063,0.176583
2548,2025-01-02,BUY,0.680500,0.133148,0.186352
2549,2025-01-03,BUY,0.715576,0.113514,0.170911
2550,2025-01-04,BUY,0.570053,0.194610,0.235337
2551,2025-01-05,BUY,0.615997,0.177919,0.206084
2552,2025-01-06,BUY,0.484377,0.273891,0.241731
2553,2025-01-07,BUY,0.647233,0.161699,0.191068
2554,2025-01-08,BUY,0.583688,0.195913,0.220399
2555,2025-01-09,BUY,0.620194,0.177836,0.201969
2556,2025-01-10,BUY,0.549274,0.220702,0.230024
2557,2025-01-11,BUY,0.566524,0.212899,0.220578
2558,2025-01-12,BUY,0.615350,0.179791,0.204858
2559,2025-01-13,BUY,0.534524,0.225828,0.239648
2560,2025-01-14,BUY,0.594625,0.198879,0.206496
2561,2025-01-15,BUY,0.542807,0.214639,0.242555
2562,2025-01-16,BUY,0.551078,0.217808,0.231114
2563,2025-01-17,BUY,0.510300,0.245273,0.244427
2564,2025-01-18,BUY,0.513485,0.233690,0.252825
2565,2025-01-19,BUY,0.516789,0.242037,0.241175
2566,2025-01-20,BUY,0.568973,0.207592,0.223435
2567,2025-01-21,BUY,0.532371,0.231340,0.236289
2568,2025-01-22,BUY,0.577100,0.193006,0.229894
2569,2025-01-23,BUY,0.589194,0.194300,0.216506
2570,2025-01-24,BUY,0.598664,0.177993,0.223343
2571,2025-01-25,BUY,0.535170,0.222585,0.242245
2572,2025-01-26,BUY,0.589651,0.191490,0.218858
2573,2025-01-27,BUY,0.505088,0.246710,0.248202
2574,2025-01-28,BUY,0.482160,0.256093,0.261746
2575,2025-01-29,BUY,0.588307,0.192802,0.218891
2576,2025-01-30,BUY,0.521408,0.233968,0.244624
2577,2025-01-31,BUY,0.494463,0.243818,0.261719
2578,2025-02-01,BUY,0.541573,0.219535,0.238892
2579,2025-02-02,BUY,0.539854,0.218808,0.241339
2580,2025-02-03,BUY,0.520662,0.230990,0.248348
2581,2025-02-04,BUY,0.502630,0.242571,0.254799
2582,2025-02-05,BUY,0.511002,0.239795,0.249203
2583,2025-02-06,BUY,0.547149,0.224065,0.228786
2584,2025-02-07,BUY,0.538485,0.216174,0.245341
2585,2025-02-08,BUY,0.484264,0.264643,0.251094
2586,2025-02-09,BUY,0.517997,0.228346,0.253657
2587,2025-02-10,BUY,0.491726,0.254556,0.253718
2588,2025-02-11,BUY,0.485911,0.259909,0.254181
2589,2025-02-12,BUY,0.520218,0.232313,0.247469
2590,2025-02-13,BUY,0.471754,0.260144,0.268102
2591,2025-02-14,BUY,0.464348,0.270548,0.265104
2592,2025-02-15,BUY,0.473501,0.260137,0.266363
2593,2025-02-16,BUY,0.471393,0.273060,0.255546
2594,2025-02-17,BUY,0.492535,0.250585,0.256880
2595,2025-02-18,BUY,0.449132,0.282396,0.268472
2596,2025-02-19,BUY,0.456331,0.276860,0.266810
2597,2025-02-20,BUY,0.412601,0.312333,0.275066
2598,2025-02-21,BUY,0.449848,0.285985,0.264167
2599,2025-02-22,BUY,0.509806,0.239896,0.250298
2600,2025-02-23,BUY,0.446092,0.282145,0.271763
2601,2025-02-24,BUY,0.521766,0.235874,0.242359
2602,2025-02-25,BUY,0.477060,0.257829,0.265111
2603,2025-02-26,BUY,0.472638,0.268444,0.258919
2604,2025-02-27,BUY,0.395180,0.314120,0.290700
2605,2025-02-28,BUY,0.499173,0.259940,0.240887
2606,2025-03-01,BUY,0.417399,0.323781,0.258820
2607,2025-03-02,BUY,0.418467,0.304705,0.276829
2608,2025-03-03,BUY,0.528380,0.229671,0.241949
2609,2025-03-04,BUY,0.506951,0.252403,0.240646
2610,2025-03-05,BUY,0.465070,0.276942,0.257988
2611,2025-03-06,BUY,0.455661,0.278630,0.265710
2612,2025-03-07,BUY,0.481705,0.263154,0.255141
2613,2025-03-08,BUY,0.528869,0.235626,0.235505
2614,2025-03-09,BUY,0.473001,0.260532,0.266467
2615,2025-03-10,BUY,0.483149,0.261483,0.255368
2616,2025-03-11,BUY,0.491861,0.253426,0.254713
2617,2025-03-12,BUY,0.403089,0.329186,0.267725
2618,2025-03-13,SELL,0.358531,0.374378,0.267092
