i,date,decision,p_buy,p_sell,p_hold
2546,2024-12-31,BUY,0.584210,0.203858,0.211931
2547,2025-01-01,BUY,0.661054,0.152472,0.186474
2548,2025-01-02,BUY,0.499341,0.269313,0.231346
2549,2025-01-03,BUY,0.523023,0.222501,0.254477
2550,2025-01-04,BUY,0.600670,0.184562,0.214767
2551,2025-01-05,BUY,0.540386,0.220084,0.239529
2552,2025-01-06,BUY,0.605584,0.179949,0.214467
2553,2025-01-07,BUY,0.525983,0.227464,0.246553
2554,2025-01-08,BUY,0.520314,0.236029,0.243658
2555,2025-01-09,BUY,0.515820,0.234944,0.249236
2556,2025-01-10,BUY,0.580205,0.203101,0.216694
2557,2025-01-11,BUY,0.473321,0.267106,0.259573
2558,2025-01-12,BUY,0.495812,0.255239,0.248949
2559,2025-01-13,BUY,0.662382,0.145990,0.191627
2560,2025-01-14,BUY,0.490192,0.255977,0.253831
2561,2025-01-15,BUY,0.490723,0.266724,0.242554
2562,2025-01-16,BUY,0.465040,0.280266,0.254694
2563,2025-01-17,BUY,0.470790,0.278604,0.250606
2564,2025-01-18,BUY,0.486061,0.260564,0.253376
2565,2025-01-19,BUY,0.509805,0.254484,0.235712
2566,2025-01-20,BUY,0.475657,0.261926,0.262417
2567,2025-01-21,BUY,0.496729,0.254423,0.248848
2568,2025-01-22,BUY,0.487460,0.248420,0.264120
2569,2025-01-23,BUY,0.436912,0.291668,0.271420
2570,2025-01-24,BUY,0.435746,0.296774,0.267480
2571,2025-01-25,BUY,0.492894,0.245082,0.262024
2572,2025-01-26,BUY,0.502579,0.244148,0.253273
2573,2025-01-27,BUY,0.515622,0.233626,0.250751
2574,2025-01-28,BUY,0.405051,0.322269,0.272680
2575,2025-01-29,BUY,0.462270,0.278842,0.258887
2576,2025-01-30,BUY,0.468495,0.280702,0.250803
2577,2025-01-31,BUY,0.486762,0.250874,0.262364
2578,2025-02-01,BUY,0.456181,0.269703,0.274115
2579,2025-02-02,BUY,0.522868,0.231272,0.245860
2580,2025-02-03,BUY,0.447538,0.276296,0.276166
2581,2025-02-04,BUY,0.503674,0.232764,0.263562
2582,2025-02-05,BUY,0.418791,0.312579,0.268630
2583,2025-02-06,BUY,0.461281,0.274324,0.264395
2584,2025-02-07,BUY,0.420393,0.309535,0.270072
2585,2025-02-08,BUY,0.371827,0.347682,0.280491
2586,2025-02-09,BUY,0.418309,0.312293,0.269398
2587,2025-02-10,BUY,0.415727,0.305678,0.278594
2588,2025-02-11,BUY,0.447234,0.284229,0.268537
2589,2025-02-12,BUY,0.395132,0.319811,0.285057
2590,2025-02-13,BUY,0.411746,0.313707,0.274547
2591,2025-02-14,BUY,0.455178,0.274092,0.270730
2592,2025-02-15,BUY,0.393208,0.328602,0.278190
2593,2025-02-16,BUY,0.458336,0.279315,0.262349
2594,2025-02-17,BUY,0.449880,0.291122,0.258998
2595,2025-02-18,BUY,0.445868,0.304830,0.249302
2596,2025-02-19,BUY,0.413033,0.323557,0.263410
2597,2025-02-20,BUY,0.385616,0.349151,0.265233
2598,2025-02-21,BUY,0.431850,0.310816,0.257333
2599,2025-02-22,BUY,0.428050,0.306117,0.265833
2600,2025-02-23,BUY,0.419986,0.317924,0.262089
2601,2025-02-24,BUY,0.436050,0.301427,0.262523
2602,2025-02-25,BUY,0.362742,0.358866,0.278392
2603,2025-02-26,BUY,0.402661,0.331088,0.266251
2604,2025-02-27,BUY,0.470389,0.288148,0.241463
2605,2025-02-28,BUY,0.405470,0.329797,0.264733
2606,2025-03-01,BUY,0.375891,0.360884,0.263225
2607,2025-03-02,SELL,0.361707,0.374999,0.263295
2608,2025-03-03,BUY,0.391135,0.350050,0.258815
2609,2025-03-04,BUY,0.409739,0.320886,0.269374
2610,2025-03-05,BUY,0.404966,0.325068,0.269965
2611,2025-03-06,BUY,0.407267,0.325528,0.267206
2612,2025-03-07,BUY,0.431768,0.317320,0.250912
2613,2025-03-08,SELL,0.340706,0.385177,0.274116
2614,2025-03-09,BUY,0.376900,0.369621,0.253479
2615,2025-03-10,SELL,0.316894,0.415883,0.267223
2616,2025-03-11,BUY,0.398988,0.339000,0.262012
2617,2025-03-12,SELL,0.313724,0.424984,0.261292
2618,2025-03-13,SELL,0.351866,0.379235,0.268898
2619,2025-03-14,SELL,0.303794,0.441748,0.254458
2620,2025-03-15,BUY,0.373685,0.361880,0.264434
2621,2025-03-16,SELL,0.312042,0.428793,0.259165
2622,2025-03-17,SELL,0.329603,0.415746,0.254651
2623,2025-03-18,BUY,0.382967,0.358993,0.258041
2624,2025-03-19,SELL,0.360122,0.381119,0.258759
2625,2025-03-20,SELL,0.349767,0.371942,0.278291
2626,2025-03-21,SELL,0.326868,0.405225,0.267907
2627,2025-03-22,SELL,0.335433,0.397471,0.267096
2628,2025-03-23,SELL,0.366990,0.373212,0.259799
2629,2025-03-24,BUY,0.388121,0.354921,0.256958
2630,2025-03-25,BUY,0.423086,0.323044,0.253870
2631,2025-03-26,SELL,0.341989,0.381792,0.276219
2632,2025-03-27,BUY,0.369661,0.366619,0.263720
2633,2025-03-28,SELL,0.313934,0.405126,0.280940
2634,2025-03-29,SELL,0.335940,0.395475,0.268585
2635,2025-03-30,SELL,0.319362,0.410565,0.270074
2636,2025-03-31,BUY,0.395685,0.338599,0.265716
2637,2025-04-01,SELL,0.292155,0.437506,0.270339
2638,2025-04-02,BUY,0.413363,0.319678,0.266958
2639,2025-04-03,BUY,0.416262,0.314742,0.268996
2640,2025-04-04,SELL,0.346119,0.375563,0.278319
2641,2025-04-05,BUY,0.404500,0.325194,0.270306
2642,2025-04-06,SELL,0.295022,0.431915,0.273064
2643,2025-04-07,SELL,0.244018,0.461929,0.294053
2644,2025-04-08,SELL,0.323387,0.405787,0.270826
2645,2025-04-09,BUY,0.370500,0.356294,0.273206
2646,2025-04-10,SELL,0.367993,0.381091,0.250916
2647,2025-04-11,SELL,0.308786,0.429106,0.262108
2648,2025-04-12,SELL,0.273379,0.454491,0.272129
2649,2025-04-13,SELL,0.329852,0.400936,0.269213
2650,2025-04-14,SELL,0.264304,0.470119,0.265577
2651,2025-04-15,SELL,0.355038,0.386783,0.258180
2652,2025-04-16,SELL,0.309087,0.420011,0.270902
2653,2025-04-17,SELL,0.370801,0.373604,0.255595
2654,2025-04-18,SELL,0.321897,0.433329,0.244774
2655,2025-04-19,SELL,0.367987,0.377603,0.254409
2656,2025-04-20,SELL,0.344935,0.401072,0.253994
2657,2025-04-21,SELL,0.321382,0.402716,0.275902
2658,2025-04-22,BUY,0.374254,0.362253,0.263492
2659,2025-04-23,SELL,0.366620,0.367727,0.265652
2660,2025-04-24,SELL,0.304118,0.408655,0.287227
2661,2025-04-25,BUY,0.379650,0.344547,0.275803
2662,2025-04-26,BUY,0.400844,0.330790,0.268366
2663,2025-04-27,BUY,0.509181,0.248058,0.242761
2664,2025-04-28,BUY,0.384598,0.331457,0.283944
2665,2025-04-29,BUY,0.512642,0.244357,0.243001
2666,2025-04-30,BUY,0.440542,0.303526,0.255931
2667,2025-05-01,BUY,0.478913,0.270257,0.250830
2668,2025-05-02,BUY,0.453327,0.279971,0.266702
2669,2025-05-03,BUY,0.501501,0.251761,0.246738
2670,2025-05-04,BUY,0.474018,0.259995,0.265987
2671,2025-05-05,BUY,0.410539,0.308123,0.281339
2672,2025-05-06,BUY,0.501253,0.248177,0.250570
2673,2025-05-07,BUY,0.486369,0.245114,0.268517
2674,2025-05-08,BUY,0.464505,0.260081,0.275414
2675,2025-05-09,BUY,0.524452,0.226088,0.249460
2676,2025-05-10,BUY,0.596350,0.191544,0.212106
2677,2025-05-11,BUY,0.607185,0.183101,0.209714
2678,2025-05-12,BUY,0.611233,0.180289,0.208478
2679,2025-05-13,BUY,0.621157,0.164791,0.214052
2680,2025-05-14,BUY,0.662344,0.154087,0.183569
2681,2025-05-15,BUY,0.557660,0.212751,0.229590
2682,2025-05-16,BUY,0.654739,0.151575,0.193686
2683,2025-05-17,BUY,0.593266,0.181614,0.225120
