data,patrimonio
2024-12-31,10000.00
2025-01-01,10000.00
2025-01-02,10000.00
2025-01-03,10108.04
2025-01-04,10112.01
2025-01-05,10126.63
2025-01-06,10524.71
2025-01-07,9981.88
2025-01-08,9966.92
2025-01-09,9966.92
2025-01-10,9966.92
2025-01-11,9966.92
2025-01-12,9966.92
2025-01-13,9966.92
2025-01-14,9966.92
2025-01-15,10357.76
2025-01-16,10305.58
2025-01-17,10727.49
2025-01-18,10775.64
2025-01-19,10444.02
2025-01-20,10539.90
2025-01-21,10940.39
2025-01-22,10688.30
2025-01-23,10710.01
2025-01-24,10808.06
2025-01-25,10795.09
2025-01-26,10574.97
2025-01-27,10558.72
2025-01-28,10558.72
2025-01-29,10558.72
2025-01-30,10643.71
2025-01-31,10411.24
2025-02-01,10395.64
2025-02-02,10395.64
2025-02-03,10395.64
2025-02-04,10395.64
2025-02-05,10395.64
2025-02-06,10395.64
2025-02-07,10395.64
2025-02-08,10395.64
2025-02-09,10395.64
2025-02-10,10395.64
2025-02-11,10395.64
2025-02-12,10395.64
2025-02-13,10247.16
2025-02-14,10231.80
2025-02-15,10225.18
2025-02-16,10069.93
2025-02-17,10054.83
2025-02-18,10054.83
2025-02-19,10054.83
2025-02-20,10212.58
2025-02-21,9990.79
2025-02-22,9975.81
2025-02-23,9975.81
2025-02-24,9975.81
2025-02-25,9975.81
2025-02-26,9975.81
2025-02-27,9975.81
2025-02-28,9975.81
2025-03-01,9975.81
2025-03-02,9975.81
2025-03-03,9110.29
2025-03-04,9096.64
2025-03-05,9096.64
2025-03-06,9014.97
2025-03-07,8700.92
2025-03-08,8687.88
2025-03-09,8687.88
2025-03-10,8687.88
2025-03-11,8687.88
2025-03-12,8687.88
2025-03-13,8687.88
2025-03-14,8687.88
2025-03-15,8711.36
2025-03-16,8529.18
2025-03-17,8516.39
2025-03-18,8371.82
2025-03-19,8359.28
2025-03-20,8095.15
2025-03-21,8081.75
2025-03-22,8069.63
2025-03-23,8069.63
2025-03-24,8189.83
2025-03-25,8182.15
2025-03-26,8136.43
2025-03-27,8164.68
2025-03-28,7902.53
2025-03-29,7890.69
2025-03-30,7890.69
2025-03-31,7890.69
2025-04-01,7890.69
2025-04-02,7633.25
2025-04-03,7621.88
2025-04-04,7621.88
2025-04-05,7578.27
2025-04-06,7567.39
2025-04-07,7567.39
2025-04-08,7567.39
2025-04-09,7567.39
2025-04-10,7279.96
2025-04-11,7268.36
2025-04-12,7418.77
2025-04-13,7287.57
2025-04-14,7359.49
2025-04-15,7278.06
2025-04-16,7311.03
2025-04-17,7391.54
2025-04-18,7349.22
2025-04-19,7403.09
2025-04-20,7411.44
2025-04-21,7614.37
2025-04-22,8130.47
2025-04-23,8150.32
2025-04-24,8176.23
2025-04-25,8234.18
2025-04-26,8233.47
2025-04-27,8156.23
2025-04-28,8266.78
2025-04-29,8199.56
2025-04-30,8192.69
2025-05-01,8394.99
2025-05-02,8430.09
2025-05-03,8340.47
2025-05-04,8202.31
2025-05-05,8190.02
2025-05-06,8358.73
2025-05-07,8375.31
2025-05-08,8914.30
2025-05-09,8889.78
2025-05-10,9048.10
2025-05-11,8988.19
2025-05-12,8872.86
2025-05-13,8988.34
2025-05-14,8934.15
2025-05-15,8957.17
2025-05-16,8930.80
2025-05-17,8902.52
2025-05-18,9190.41
2025-05-19,9112.67
2025-05-20,9222.99
2025-05-21,9464.40
2025-05-22,9642.14
2025-05-23,9264.24
2025-05-24,9302.50
2025-05-25,9409.34
2025-05-26,9446.71
2025-05-27,9403.39
2025-05-28,9303.94
2025-05-29,9289.99
2025-05-30,9289.99
2025-05-31,9289.99
2025-06-01,9289.99
2025-06-02,9289.99
2025-06-03,9289.99
2025-06-04,9289.99
2025-06-05,9289.99
2025-06-06,9289.99
2025-06-07,9289.99
2025-06-08,9291.49
2025-06-09,9690.28
2025-06-10,9690.91
2025-06-11,9547.80
2025-06-12,9285.75
2025-06-13,9271.83
2025-06-14,9271.83
2025-06-15,9271.83
2025-06-16,9271.83
2025-06-17,9063.60
2025-06-18,9050.11
2025-06-19,9050.11
2025-06-20,9050.11
2025-06-21,9050.11
2025-06-22,9050.11
2025-06-23,9050.11
2025-06-24,9099.86
2025-06-25,9206.34
2025-06-26,9174.37
2025-06-27,9182.20
2025-06-28,9203.53
2025-06-29,9294.34
2025-06-30,9189.57
2025-07-01,9065.04
2025-07-02,9051.45
2025-07-03,9100.54
2025-07-04,8967.01
2025-07-05,8984.81
2025-07-06,9068.09
