data,patrimonio
2018-01-11,10000.00
2018-01-12,10000.00
2018-01-13,10000.00
2018-01-14,10000.00
2018-01-15,10000.00
2018-01-16,10000.00
2018-01-17,10000.00
2018-01-18,10000.00
2018-01-19,10000.00
2018-01-20,10000.00
2018-01-21,10000.00
2018-01-22,10000.00
2018-01-23,10000.00
2018-01-24,10000.00
2018-01-25,10000.00
2018-01-26,10000.00
2018-01-27,10000.00
2018-01-28,11159.88
2018-01-29,10553.59
2018-01-30,9686.49
2018-01-31,9671.96
2018-02-01,8935.74
2018-02-02,8925.77
2018-02-03,8925.77
2018-02-04,8925.77
2018-02-05,8925.77
2018-02-06,8925.77
2018-02-07,8925.77
2018-02-08,8925.77
2018-02-09,8925.77
2018-02-10,8641.02
2018-02-11,8628.06
2018-02-12,8628.06
2018-02-13,8359.26
2018-02-14,8368.88
2018-02-15,8425.16
2018-02-16,8520.19
2018-02-17,8815.48
2018-02-18,8302.82
2018-02-19,8566.34
2018-02-20,8046.48
2018-02-21,8034.42
2018-02-22,8034.42
2018-02-23,8034.42
2018-02-24,8034.42
2018-02-25,8034.42
2018-02-26,8034.42
2018-02-27,8069.16
2018-02-28,7906.58
2018-03-01,7891.85
2018-03-02,7732.99
2018-03-03,7734.31
2018-03-04,7734.31
2018-03-05,7587.48
2018-03-06,7576.10
2018-03-07,7576.10
2018-03-08,7576.10
2018-03-09,7576.10
2018-03-10,7576.10
2018-03-11,7576.10
2018-03-12,7576.10
2018-03-13,7576.10
2018-03-14,7576.10
2018-03-15,7576.10
2018-03-16,7576.10
2018-03-17,7576.10
2018-03-18,7576.10
2018-03-19,7576.10
2018-03-20,7576.10
2018-03-21,7576.10
2018-03-22,7576.10
2018-03-23,7576.10
2018-03-24,7576.10
2018-03-25,7576.10
2018-03-26,7576.10
2018-03-27,7576.10
2018-03-28,7576.10
2018-03-29,7576.10
2018-03-30,7576.10
2018-03-31,7576.10
2018-04-01,7576.10
2018-04-02,7576.10
2018-04-03,7576.10
2018-04-04,7576.10
2018-04-05,7576.10
2018-04-06,7576.10
2018-04-07,7576.10
2018-04-08,7576.10
2018-04-09,7564.00
2018-04-10,7856.75
2018-04-11,8120.75
2018-04-12,9349.61
2018-04-13,9355.29
2018-04-14,9510.36
2018-04-15,10079.78
2018-04-16,9667.51
2018-04-17,9518.11
2018-04-18,9943.43
2018-04-19,10751.70
2018-04-20,11660.40
2018-04-21,11437.05
2018-04-22,11742.28
2018-04-23,12187.65
2018-04-24,13285.46
2018-04-25,11687.44
2018-04-26,12519.35
2018-04-27,12182.54
2018-04-28,12936.54
2018-04-29,13048.68
2018-04-30,12688.80
2018-05-01,12694.47
2018-05-02,13048.50
2018-05-03,14766.22
2018-05-04,14861.53
2018-05-05,15519.27
2018-05-06,15034.19
2018-05-07,14225.16
2018-05-08,14145.74
2018-05-09,14238.40
2018-05-10,13677.87
2018-05-11,13679.07
2018-05-12,13679.07
2018-05-13,13679.07
2018-05-14,13640.58
2018-05-15,13241.35
2018-05-16,13221.31
2018-05-17,13221.31
2018-05-18,13221.31
2018-05-19,13221.31
2018-05-20,13221.31
2018-05-21,12831.16
2018-05-22,12811.92
2018-05-23,12811.92
2018-05-24,12811.92
2018-05-25,12811.92
2018-05-26,12811.92
2018-05-27,12811.92
2018-05-28,12811.92
2018-05-29,12811.92
2018-05-30,12811.92
2018-05-31,12811.92
2018-06-01,12811.92
2018-06-02,12811.92
2018-06-03,13407.50
2018-06-04,12794.67
2018-06-05,13193.13
2018-06-06,13135.37
2018-06-07,13090.16
2018-06-08,12975.30
2018-06-09,12835.34
2018-06-10,12815.66
2018-06-11,12815.66
2018-06-12,12815.66
2018-06-13,12815.66
2018-06-14,12815.66
2018-06-15,12815.66
2018-06-16,12815.66
2018-06-17,12815.66
2018-06-18,12815.66
2018-06-19,13284.70
2018-06-20,13248.13
2018-06-21,13008.95
2018-06-22,11428.11
2018-06-23,11411.22
2018-06-24,11411.22
2018-06-25,11411.22
2018-06-26,11411.22
2018-06-27,11411.22
2018-06-28,11411.22
2018-06-29,11411.22
2018-06-30,11411.22
2018-07-01,11411.22
2018-07-02,11411.22
2018-07-03,11064.94
2018-07-04,11182.01
2018-07-05,11203.80
2018-07-06,11266.28
2018-07-07,11638.31
2018-07-08,11644.78
2018-07-09,11291.18
2018-07-10,11272.58
2018-07-11,11272.58
2018-07-12,11272.58
2018-07-13,11272.58
2018-07-14,11272.58
2018-07-15,11272.58
2018-07-16,11969.83
2018-07-17,12480.11
2018-07-18,11987.34
2018-07-19,11728.20
2018-07-20,11246.93
2018-07-21,11230.07
2018-07-22,11230.07
2018-07-23,11230.07
2018-07-24,11230.07
2018-07-25,11041.47
2018-07-26,10815.01
2018-07-27,10797.86
2018-07-28,10742.03
2018-07-29,10688.17
2018-07-30,10672.14
2018-07-31,10672.14
2018-08-01,10672.14
2018-08-02,10672.14
2018-08-03,10672.14
2018-08-04,10672.14
2018-08-05,10672.14
2018-08-06,10672.14
2018-08-07,10672.14
2018-08-08,10672.14
2018-08-09,10672.14
2018-08-10,10672.14
2018-08-11,10672.14
2018-08-12,10672.14
2018-08-13,10672.14
2018-08-14,10672.14
2018-08-15,10672.14
2018-08-16,10672.14
2018-08-17,10672.14
2018-08-18,9864.63
2018-08-19,9849.84
2018-08-20,9849.84
2018-08-21,9849.84
2018-08-22,9849.84
2018-08-23,9849.84
2018-08-24,9849.84
2018-08-25,9849.84
2018-08-26,9849.84
2018-08-27,9849.84
2018-08-28,10102.84
2018-08-29,9873.04
2018-08-30,9703.43
2018-08-31,9689.56
2018-09-01,9689.56
2018-09-02,9670.79
2018-09-03,9457.78
2018-09-04,9342.27
2018-09-05,9328.26
2018-09-06,9328.26
2018-09-07,9328.26
2018-09-08,9328.26
2018-09-09,9328.26
2018-09-10,9328.26
2018-09-11,9328.26
2018-09-12,9328.26
2018-09-13,9328.26
2018-09-14,9328.26
2018-09-15,9328.26
2018-09-16,9253.35
2018-09-17,8234.68
2018-09-18,8229.88
2018-09-19,8229.88
2018-09-20,8229.88
2018-09-21,9093.60
2018-09-22,8834.97
2018-09-23,8976.21
2018-09-24,8364.66
2018-09-25,8351.39
2018-09-26,8351.39
2018-09-27,8351.39
2018-09-28,8075.41
2018-09-29,8063.30
2018-09-30,8102.32
2018-10-01,8050.87
2018-10-02,7853.74
2018-10-03,7841.97
2018-10-04,7841.97
2018-10-05,7841.97
2018-10-06,7725.60
2018-10-07,7711.28
2018-10-08,7834.87
2018-10-09,7773.26
2018-10-10,7714.36
2018-10-11,7701.10
2018-10-12,7701.10
2018-10-13,7701.10
2018-10-14,7701.10
2018-10-15,7701.10
2018-10-16,7724.36
2018-10-17,7641.13
2018-10-18,7400.39
2018-10-19,7389.29
2018-10-20,7389.29
2018-10-21,7389.29
