data,patrimonio
2024-12-31,10000.00
2025-01-01,10000.00
2025-01-02,10000.00
2025-01-03,10426.86
2025-01-04,10564.63
2025-01-05,10504.28
2025-01-06,10653.24
2025-01-07,9767.07
2025-01-08,9752.57
2025-01-09,9752.57
2025-01-10,9752.57
2025-01-11,9752.57
2025-01-12,9752.57
2025-01-13,9752.57
2025-01-14,9752.57
2025-01-15,9752.57
2025-01-16,9334.04
2025-01-17,9320.07
2025-01-18,8861.44
2025-01-19,8847.99
2025-01-20,8847.99
2025-01-21,8847.99
2025-01-22,8610.75
2025-01-23,8598.00
2025-01-24,8511.15
2025-01-25,8534.77
2025-01-26,8312.14
2025-01-27,8299.67
2025-01-28,8299.67
2025-01-29,8299.67
2025-01-30,8299.67
2025-01-31,8424.25
2025-02-01,7955.23
2025-02-02,7943.30
2025-02-03,7943.30
2025-02-04,7943.30
2025-02-05,7943.30
2025-02-06,7943.30
2025-02-07,7943.30
2025-02-08,7943.30
2025-02-09,7943.30
2025-02-10,7943.30
2025-02-11,7943.30
2025-02-12,7943.30
2025-02-13,7750.26
2025-02-14,7738.66
2025-02-15,7633.51
2025-02-16,7622.06
2025-02-17,7622.06
2025-02-18,7409.68
2025-02-19,7399.07
2025-02-20,7449.52
2025-02-21,7244.12
2025-02-22,7233.50
2025-02-23,7370.72
2025-02-24,6571.12
2025-02-25,6560.96
2025-02-26,6560.96
2025-02-27,6560.96
2025-02-28,6560.96
2025-03-01,6560.96
2025-03-02,6560.96
2025-03-03,5591.73
2025-03-04,5583.40
2025-03-05,5583.40
2025-03-06,5583.40
2025-03-07,5583.40
2025-03-08,5583.40
2025-03-09,5583.40
2025-03-10,5583.40
2025-03-11,5583.40
2025-03-12,5583.40
2025-03-13,5583.40
2025-03-14,5583.40
2025-03-15,5583.40
2025-03-16,5583.40
2025-03-17,5583.40
2025-03-18,5583.40
2025-03-19,5583.40
2025-03-20,5378.13
2025-03-21,5329.47
2025-03-22,5321.48
2025-03-23,5381.56
2025-03-24,5583.14
2025-03-25,5543.57
2025-03-26,5390.82
2025-03-27,5382.82
2025-03-28,5382.82
2025-03-29,5382.82
2025-03-30,5382.82
2025-03-31,5382.82
2025-04-01,5382.82
2025-04-02,5382.82
2025-04-03,5382.82
2025-04-04,5382.82
2025-04-05,5382.82
2025-04-06,5382.82
2025-04-07,5382.82
2025-04-08,5382.82
2025-04-09,5382.82
2025-04-10,5382.82
2025-04-11,5382.82
2025-04-12,5382.82
2025-04-13,5222.50
2025-04-14,5214.93
2025-04-15,5214.93
2025-04-16,5214.93
2025-04-17,5214.93
2025-04-18,5214.93
2025-04-19,5214.93
2025-04-20,5124.00
2025-04-21,5116.32
2025-04-22,5116.32
2025-04-23,5221.77
2025-04-24,5147.66
2025-04-25,5190.56
2025-04-26,5296.27
2025-04-27,5210.34
2025-04-28,5235.15
2025-04-29,5229.07
2025-04-30,5216.68
2025-05-01,5346.82
2025-05-02,5358.31
2025-05-03,5333.18
2025-05-04,5261.59
2025-05-05,5294.84
2025-05-06,5285.21
2025-05-07,5267.76
2025-05-08,6420.41
2025-05-09,6821.56
2025-05-10,7512.74
2025-05-11,7314.56
2025-05-12,7258.34
2025-05-13,7794.19
2025-05-14,7590.98
2025-05-15,7413.84
2025-05-16,7380.36
2025-05-17,7200.66
2025-05-18,7266.05
2025-05-19,7352.76
2025-05-20,7342.58
2025-05-21,7419.95
2025-05-22,7752.13
2025-05-23,7349.27
2025-05-24,7338.22
2025-05-25,7387.16
2025-05-26,7423.67
2025-05-27,7705.18
2025-05-28,7764.48
2025-05-29,7619.41
2025-05-30,7329.13
2025-05-31,7318.17
2025-06-01,7318.17
2025-06-02,7318.17
2025-06-03,7267.00
2025-06-04,7308.86
2025-06-05,6765.16
2025-06-06,6755.66
2025-06-07,6755.66
2025-06-08,6755.66
2025-06-09,6755.66
2025-06-10,7087.49
2025-06-11,6975.62
2025-06-12,6651.06
2025-06-13,6491.12
2025-06-14,6481.74
2025-06-15,6481.74
2025-06-16,6481.74
2025-06-17,6481.74
2025-06-18,6481.74
2025-06-19,6481.74
2025-06-20,6481.74
2025-06-21,6481.74
2025-06-22,6481.74
2025-06-23,6481.74
2025-06-24,6481.74
2025-06-25,6392.13
2025-06-26,6382.57
2025-06-27,6382.57
2025-06-28,6382.57
2025-06-29,6542.55
2025-06-30,6502.08
2025-07-01,6292.84
2025-07-02,6283.41
2025-07-03,6324.00
2025-07-04,6121.78
2025-07-05,6141.65
2025-07-06,6274.45
