entrada,preco_entrada,saida,preco_saida,pnl,retorno
2018-01-21,12734.1639,2018-01-22,11522.6358,-969.48,-0.096948
2018-01-29,11845.3197,2018-01-30,11259.3675,-463.86,-0.051366
2018-02-10,8689.5426,2018-02-11,8528.1338,-175.92,-0.020536
2018-02-13,8906.3510,2018-02-14,8540.6275,-360.63,-0.042979
2018-02-15,9469.1322,2018-02-23,9820.4873,281.32,0.035033
2018-02-27,10306.7508,2018-03-07,10711.6415,309.25,0.037208
2018-03-20,8619.5076,2018-03-25,8530.8325,-105.73,-0.012265
2018-04-04,7408.7025,2018-04-05,6792.3022,-724.04,-0.085031
2018-04-12,6949.4730,2018-05-02,9065.8648,2352.33,0.301933
2018-05-03,9252.6240,2018-05-08,9361.2170,98.54,0.009715
2018-05-21,8532.3641,2018-05-22,8372.7115,-211.72,-0.020672
2018-06-03,7646.7214,2018-06-05,7483.2565,-234.03,-0.023332
2018-06-06,7627.5118,2018-06-10,7490.9527,-194.61,-0.019866
2018-06-19,6708.6526,2018-06-23,6041.3778,-972.28,-0.101264
2018-06-30,6198.9979,2018-07-11,6297.2498,119.25,0.013820
2018-07-17,6723.7602,2018-08-01,7737.5293,1298.92,0.148475
2018-08-18,6584.1904,2018-08-19,6385.4057,-322.81,-0.032129
2018-08-20,6476.3365,2018-08-21,6251.5727,-356.25,-0.036634
2018-08-22,6483.2400,2018-08-23,6357.4197,-200.16,-0.021366
2018-08-24,6524.9608,2018-09-06,6700.5481,227.90,0.024858
2018-09-14,6491.4441,2018-09-18,6245.3758,-374.23,-0.039829
2018-09-21,6495.2460,2018-09-26,6441.1778,-92.98,-0.010306
2018-09-28,6694.5456,2018-10-03,6530.3332,-236.42,-0.026478
2018-10-05,6593.9953,2018-10-12,6246.9750,-473.90,-0.054520
2018-10-16,6751.8742,2018-10-20,6522.7370,-294.77,-0.035867
2018-10-21,6587.0919,2018-10-23,6575.6106,-29.62,-0.003738
2018-11-05,6488.2425,2018-11-09,6477.4596,-28.87,-0.003657
2018-11-14,6462.6297,2018-11-15,5910.0435,-686.89,-0.087332
2018-12-18,3510.7545,2018-12-26,3744.2270,462.08,0.064371
2018-12-29,3840.1191,2018-12-30,3693.1525,-307.09,-0.040193
2018-12-31,3803.6008,2019-01-01,3699.5493,-214.86,-0.029299
2019-01-02,3798.0981,2019-01-04,3764.2169,-77.60,-0.010901
2019-01-05,3793.0956,2019-01-06,3770.1140,-56.64,-0.008045
2019-01-07,3992.3952,2019-01-11,3581.8082,-730.79,-0.104635
2019-01-20,3667.7330,2019-01-21,3536.2310,-236.26,-0.037780
2019-02-03,3505.7520,2019-02-04,3456.2710,-96.78,-0.016084
2019-02-09,3661.5298,2019-02-25,3746.7257,125.65,0.021223
2019-03-06,3858.6283,2019-03-12,3867.4653,1.74,0.000288
2019-03-13,3884.4412,2019-03-14,3864.5668,-42.96,-0.007104
2019-03-15,3878.0380,2019-03-26,3933.4323,73.60,0.012258
2019-03-28,4040.6193,2019-04-16,5023.2871,1463.16,0.240713
2019-04-17,5176.3869,2019-04-26,5209.3940,32.92,0.004366
2019-04-27,5317.7576,2019-04-28,5291.4530,-52.53,-0.006935
2019-04-29,5312.2548,2019-04-30,5233.9817,-125.64,-0.016703
2019-05-01,5325.4614,2019-05-19,7252.4720,2656.23,0.359128
2019-05-20,8163.8799,2019-05-23,7624.2860,-683.18,-0.067961
2019-05-24,7850.0230,2019-05-31,8263.1663,473.40,0.050526
2019-06-01,8560.0779,2019-06-04,8106.4448,-540.23,-0.054886
