entrada,preco_entrada,saida,preco_saida,pnl,retorno
2025-01-03,97036.8942,2025-01-08,96909.5210,-33.08,-0.003308
2025-01-15,96608.2800,2025-01-27,102549.3997,591.80,0.059376
2025-01-30,103787.1677,2025-02-01,102388.7800,-163.08,-0.015445
2025-02-13,97919.0351,2025-02-14,96568.6915,-163.84,-0.015761
2025-02-15,97552.8521,2025-02-17,96057.5472,-176.96,-0.017296
2025-02-20,96692.7222,2025-02-22,96124.8136,-79.03,-0.007860
2025-03-03,94316.6347,2025-03-04,86176.6901,-879.17,-0.088130
2025-03-06,90654.0043,2025-03-08,86753.8014,-408.76,-0.044935
2025-03-15,84030.5943,2025-03-17,82536.8110,-171.49,-0.019739
2025-03-18,84053.9059,2025-03-19,82668.4451,-157.11,-0.018448
2025-03-20,86887.1218,2025-03-22,84044.4567,-289.64,-0.034649
2025-03-24,86126.4417,2025-03-29,84385.1863,-178.94,-0.022175
2025-04-02,85210.8841,2025-04-03,82472.8430,-268.81,-0.034066
2025-04-05,83931.0446,2025-04-06,83497.8302,-54.49,-0.007149
2025-04-10,82659.6092,2025-04-11,79552.2040,-299.03,-0.039516
2025-04-12,83455.8071,2025-05-05,94226.6631,921.66,0.126805
2025-05-06,94784.6686,2025-05-29,107730.0081,1099.96,0.134305
2025-06-08,105606.3768,2025-06-13,105610.9681,-18.16,-0.001955
2025-06-17,106859.4030,2025-06-18,104512.8175,-221.72,-0.023914
2025-06-24,105408.5779,2025-07-02,105635.2560,1.34,0.000148
2025-07-03,108893.3194,2025-07-26,117557.0921,700.63,0.077405
2025-07-28,119499.7200,2025-07-29,118014.8630,-140.42,-0.014399
2025-08-08,117536.8390,2025-08-15,118239.3508,38.13,0.003967
2025-08-23,117002.2719,2025-08-24,115366.3880,-153.93,-0.015952
2025-09-03,111289.6170,2025-09-05,110664.7400,-72.18,-0.007602
2025-09-08,111193.1688,2025-09-22,115178.3820,318.25,0.033771
2025-09-29,112227.0855,2025-10-11,112713.6150,22.68,0.002329
2025-10-24,110128.9369,2025-10-30,109969.1879,-33.65,-0.003446
2025-11-11,106065.0060,2025-11-12,103010.6689,-299.10,-0.030737
2025-11-27,90527.3411,2025-12-02,86240.2583,-464.61,-0.049260
2025-12-03,91329.5419,2025-12-06,89286.2345,-218.14,-0.024326
2025-12-08,90439.2970,2025-12-13,90222.9660,-38.37,-0.004385
2025-12-20,88187.0715,2025-12-24,87443.7563,-90.68,-0.010410
2025-12-28,87916.0360,2025-12-30,87188.4840,-88.42,-0.010257
2025-12-31,88540.7482,2026-01-01,87594.9806,-108.00,-0.012658
2026-01-02,88891.4235,2026-01-10,90590.6820,143.88,0.017080
2026-01-12,91053.8041,2026-01-19,93627.1630,224.53,0.026207
2026-02-15,69856.7109,2026-02-16,68803.5810,-149.85,-0.017043
2026-02-26,68023.9950,2026-02-28,65840.2634,-294.15,-0.034036
2026-03-01,67002.5845,2026-03-02,65738.3144,-173.88,-0.020829
2026-03-03,68866.6161,2026-03-07,68082.5417,-109.21,-0.013361
2026-03-10,68457.4116,2026-03-19,71217.4735,308.40,0.038239
2026-03-24,70935.4500,2026-03-27,68792.7864,-269.15,-0.032143
2026-04-01,68312.0389,2026-04-03,66864.5510,-187.57,-0.023145
2026-04-06,69064.5150,2026-04-13,70711.2267,172.56,0.021797
2026-04-14,74455.4091,2026-04-20,73771.0960,-90.36,-0.011171
2026-04-21,75878.3202,2026-04-29,76304.0289,28.81,0.003601
2026-05-02,78273.5172,2026-05-13,80452.6536,207.00,0.025786
2026-05-15,81125.5425,2026-05-16,79077.3415,-223.94,-0.027195
2026-06-14,64486.6272,2026-06-18,64469.6491,-18.11,-0.002261
2026-06-21,64332.2500,2026-06-22,63281.4434,-146.26,-0.018299
2026-07-03,61589.8795,2026-07-09,62252.2583,68.54,0.008735
2026-07-10,63260.2143,2026-07-14,62300.9339,-135.60,-0.017132
2026-07-15,65069.9187,2026-07-25,64118.4248,-129.07,-0.016591
2026-07-27,65439.9036,2026-07-28,63728.0201,-215.01,-0.028105
2026-07-31,64815.0913,2026-08-01,62859.6545,-238.72,-0.032107
2026-08-05,64122.7453,2026-08-11,63942.4128,-34.58,-0.004805
2026-08-18,64564.7662,2026-09-03,77301.0302,1395.65,0.194871
2026-09-04,81300.7300,2026-09-06,80301.2293,-122.09,-0.014267
