entrada,preco_entrada,saida,preco_saida,pnl,retorno
2018-01-28,1115.0172,2018-01-31,1080.5994,-328.04,-0.032804
2018-02-01,1125.1023,2018-02-02,1040.3796,-746.19,-0.077150
2018-02-10,877.6186,2018-02-11,850.0448,-297.71,-0.033354
2018-02-13,866.4230,2018-02-14,842.0788,-259.18,-0.030039
2018-02-15,918.4590,2018-02-21,883.5180,-334.46,-0.039965
2018-02-27,866.3830,2018-03-01,852.7134,-142.56,-0.017744
2018-03-02,871.8257,2018-03-03,856.1317,-157.55,-0.019963
2018-03-05,865.5826,2018-03-06,849.5750,-158.20,-0.020454
2018-04-09,400.2100,2018-05-11,724.0478,6102.97,0.805555
2018-05-14,729.0844,2018-05-16,706.0968,-457.76,-0.033464
2018-05-21,716.8582,2018-05-22,696.0518,-409.39,-0.030965
2018-06-03,591.6757,2018-06-10,593.0333,3.74,0.000292
2018-06-19,518.1590,2018-06-23,462.2987,-1404.44,-0.109588
2018-07-03,476.1780,2018-07-10,471.3342,-138.64,-0.012150
2018-07-16,450.2050,2018-07-21,449.4052,-42.51,-0.003771
2018-07-25,480.0399,2018-07-27,462.4886,-432.21,-0.038487
2018-07-28,470.6752,2018-07-30,466.1268,-125.71,-0.011642
2018-08-18,317.7488,2018-08-19,293.8530,-822.30,-0.077051
2018-08-28,287.7538,2018-08-31,283.6381,-160.28,-0.016272
2018-09-02,295.8278,2018-09-05,285.3672,-361.30,-0.037288
2018-09-16,221.7508,2018-09-18,196.0319,-1098.38,-0.117747
2018-09-21,224.1120,2018-09-25,227.8760,121.50,0.014764
2018-09-28,229.2646,2018-09-29,221.7990,-288.09,-0.034496
2018-09-30,231.6958,2018-10-03,225.7871,-221.33,-0.027449
2018-10-06,228.4041,2018-10-07,225.0474,-130.69,-0.016665
2018-10-08,226.3031,2018-10-11,226.4567,-10.18,-0.001321
2018-10-16,214.4372,2018-10-19,206.1669,-311.81,-0.040488
2018-11-03,202.4112,2018-11-04,200.1499,-97.15,-0.013147
2018-11-05,212.1860,2018-11-14,209.7551,-97.95,-0.013432
2018-12-18,94.0770,2018-12-28,113.7831,1489.56,0.207051
2018-12-29,135.3276,2019-01-11,124.8076,-691.06,-0.079580
2019-02-03,110.4252,2019-02-04,107.2563,-244.88,-0.030637
2019-02-09,119.3096,2019-02-25,132.4138,833.79,0.107616
2019-03-06,136.7784,2019-03-09,133.4432,-225.98,-0.026333
2019-03-10,137.3386,2019-03-12,132.5837,-305.41,-0.036551
2019-03-16,136.6783,2019-03-22,134.7726,-128.11,-0.015913
2019-03-24,137.3486,2019-03-25,136.0220,-92.20,-0.011638
2019-03-28,139.4697,2019-04-12,164.0080,1359.20,0.173590
2019-04-15,167.3036,2019-04-16,159.8900,-424.74,-0.046222
2019-04-17,165.4527,2019-04-22,168.5357,145.48,0.016599
2019-04-23,170.6453,2019-04-24,169.0654,-100.13,-0.011238
2019-05-01,161.9609,2019-05-02,160.1299,-117.00,-0.013281
2019-05-03,161.9109,2019-05-31,254.2428,4929.88,0.567126
2019-06-01,268.0640,2019-06-04,249.9250,-947.17,-0.069529
2019-06-11,246.8133,2019-06-12,244.0679,-166.04,-0.013099
2019-06-13,261.3806,2019-06-28,298.2008,1733.66,0.138589
2019-06-29,311.3856,2019-07-01,292.4737,-891.78,-0.062611
2019-07-04,301.2706,2019-07-05,282.5886,-852.94,-0.063885
2019-07-08,304.8323,2019-07-11,288.9155,-676.27,-0.054109
2019-08-01,218.5492,2019-08-09,221.2493,122.15,0.010332
2019-08-20,202.3211,2019-08-21,196.4517,-369.68,-0.030950
2019-09-03,178.1190,2019-09-05,174.5927,-251.82,-0.021756
2019-09-08,177.6788,2019-09-24,201.1994,1473.25,0.130114
2019-10-01,180.8604,2019-10-02,175.6022,-396.85,-0.031013
2019-10-03,180.3801,2019-10-04,174.6127,-420.43,-0.033908
2019-10-08,179.9199,2019-10-12,180.5897,20.57,0.001717
2019-10-15,186.8234,2019-10-16,180.4297,-433.80,-0.036152
2019-10-26,181.6808,2019-11-09,183.6881,104.42,0.009029
2019-11-11,189.0545,2019-11-12,184.8375,-283.10,-0.024259
2019-11-13,187.1235,2019-11-15,184.8275,-162.19,-0.014243
2019-12-09,150.4652,2019-12-10,147.3163,-256.86,-0.022884
2019-12-30,134.3972,2020-01-01,129.1254,-451.27,-0.041145
2020-01-02,130.7553,2020-01-03,127.0864,-315.51,-0.030001
2020-01-04,134.5072,2020-01-24,162.7886,2120.18,0.207841
2020-01-27,167.9239,2020-02-20,258.2808,6591.92,0.535009
2020-02-22,265.4527,2020-02-26,246.5767,-1379.99,-0.072965
2020-03-07,245.0224,2020-03-09,199.3803,-3294.52,-0.187903
2020-03-24,135.9780,2020-03-28,131.2943,-517.90,-0.036373
2020-04-01,132.7663,2020-04-14,156.2119,2390.70,0.174241
2020-04-15,158.5192,2020-04-16,152.6436,-628.17,-0.038989
2020-04-17,172.4262,2020-05-07,198.8205,2334.44,0.150773
2020-05-08,212.1060,2020-05-11,187.4462,-2102.96,-0.118027
2020-05-14,199.6898,2020-05-16,194.6926,-423.87,-0.026973
2020-05-17,200.5802,2020-05-22,198.7106,-172.79,-0.011301
2020-05-23,207.4437,2020-05-25,199.7501,-589.78,-0.039012
2020-05-28,208.4242,2020-06-12,230.3748,1497.98,0.103109
2020-06-23,243.2316,2020-06-25,234.4427,-609.95,-0.038059
2020-07-02,231.1055,2020-07-03,226.3768,-345.61,-0.022419
2020-07-05,229.3046,2020-07-06,227.4462,-152.01,-0.010086
2020-07-07,241.8509,2020-07-16,238.5207,-234.82,-0.015740
2020-07-20,239.1995,2020-07-21,235.9320,-229.52,-0.015631
2020-07-22,245.6428,2020-08-12,378.8905,7796.11,0.539363
2020-08-13,387.3436,2020-08-20,407.1263,1089.67,0.048973
2020-08-21,416.0979,2020-08-22,387.7960,-1630.99,-0.069880
2020-08-25,407.9839,2020-08-26,382.8385,-1378.70,-0.063508
2020-08-29,395.2976,2020-09-04,381.1893,-764.76,-0.037617
2020-09-11,368.0439,2020-09-14,366.2168,-136.03,-0.006953
2020-09-15,377.3186,2020-09-16,363.8880,-729.03,-0.037522
2020-09-18,389.5547,2020-09-21,370.8545,-933.27,-0.049906
2020-09-27,354.1070,2020-09-29,353.8230,-49.72,-0.002798
2020-09-30,359.9699,2020-10-02,352.5836,-398.22,-0.022476
2020-10-05,352.5362,2020-10-07,340.5996,-619.85,-0.035789
2020-10-09,351.0554,2020-10-17,365.0974,633.26,0.037921
2020-10-19,378.3791,2020-10-21,368.4157,-490.12,-0.028277
2020-10-22,391.0554,2020-10-27,392.2538,17.86,0.001060
2020-10-28,402.9214,2020-10-29,387.7760,-666.19,-0.039512
2020-11-02,394.2971,2020-11-03,379.8700,-623.71,-0.038514
2020-11-05,401.0404,2020-11-16,443.9979,1633.40,0.104903
2020-11-17,457.4786,2020-11-27,519.4801,2292.60,0.133260
2020-11-29,537.7587,2020-12-05,567.0763,1021.84,0.052411
2020-12-06,597.2785,2020-12-09,554.6725,-1501.72,-0.073189
2020-12-14,591.0254,2020-12-22,607.5161,491.55,0.025848
2020-12-23,636.9183,2020-12-24,585.0673,-1623.95,-0.083245
2020-12-26,627.3035,2021-01-12,1086.4265,13027.62,0.728439
2021-01-14,1130.2749,2021-01-22,1110.7443,-594.84,-0.019243
2021-01-23,1233.1963,2021-01-28,1238.3705,66.38,0.002189
2021-01-29,1330.2548,2021-02-01,1312.0736,-475.14,-0.015638
2021-02-02,1375.3273,2021-02-23,1775.4718,8624.53,0.288366
2021-03-04,1569.1442,2021-03-05,1538.5603,-826.52,-0.021450
2021-03-07,1652.0056,2021-03-19,1774.8321,2722.52,0.072203
2021-03-20,1809.7544,2021-03-22,1782.1985,-695.13,-0.017194
2021-03-27,1699.5293,2021-03-29,1686.3464,-386.98,-0.009739
2021-03-30,1817.4883,2021-04-08,1962.9780,3064.79,0.077892
2021-04-09,2081.5202,2021-04-19,2234.5622,3027.30,0.071379
2021-04-21,2331.1950,2021-04-25,2212.2933,-2403.75,-0.052901
2021-04-26,2321.0700,2021-05-16,3644.7267,24406.97,0.567141
2021-05-27,2886.8827,2021-05-28,2740.8989,-3538.34,-0.052465
2021-06-01,2707.3430,2021-06-06,2627.3557,-2011.92,-0.031484
2021-06-07,2713.4060,2021-06-08,2590.7040,-2916.86,-0.047128
2021-06-15,2582.6607,2021-06-17,2367.5756,-5019.48,-0.085112
2021-06-29,2085.2521,2021-07-09,2114.5722,649.33,0.012035
2021-07-22,1996.7879,2021-08-18,3010.8738,27567.00,0.504846
2021-08-20,3186.5525,2021-08-25,3169.1846,-611.15,-0.007437
2021-08-26,3228.4834,2021-08-27,3090.6539,-3637.97,-0.044604
2021-08-28,3275.5670,2021-09-08,3432.3430,3566.41,0.045769
