entrada,preco_entrada,saida,preco_saida,pnl,retorno
2025-01-03,3457.9781,2025-01-08,3379.1696,-247.43,-0.024743
2025-01-16,3452.8356,2025-01-17,3306.3160,-432.50,-0.044348
2025-01-18,3475.6370,2025-01-19,3306.1961,-472.08,-0.050652
2025-01-22,3329.1738,2025-01-23,3241.5884,-249.99,-0.028254
2025-01-24,3340.6495,2025-01-27,3231.1936,-298.33,-0.034697
2025-01-31,3249.0337,2025-02-02,3115.7513,-356.37,-0.042938
2025-02-13,2739.7192,2025-02-14,2674.4821,-204.64,-0.025762
2025-02-15,2727.6732,2025-02-16,2691.9534,-116.60,-0.015067
2025-02-18,2745.8422,2025-02-19,2670.8439,-223.00,-0.029257
2025-02-20,2716.9378,2025-02-22,2661.4586,-165.57,-0.022377
2025-02-23,2764.3515,2025-02-25,2512.3532,-672.54,-0.092976
2025-03-03,2519.2990,2025-03-04,2148.2254,-977.56,-0.148996
2025-03-20,2057.4482,2025-03-22,1964.8571,-261.92,-0.046911
2025-03-23,1981.6403,2025-03-27,2008.4953,61.34,0.011527
2025-04-13,1645.1622,2025-04-14,1597.0411,-167.89,-0.031190
2025-04-20,1614.0166,2025-04-21,1586.6663,-98.61,-0.018910
2025-04-23,1757.1781,2025-05-24,2525.3267,2221.90,0.434278
2025-05-25,2531.7652,2025-05-31,2529.9044,-20.04,-0.002732
2025-06-03,2608.8938,2025-06-06,2413.1828,-562.51,-0.076865
2025-06-10,2681.5801,2025-06-14,2578.0004,-273.92,-0.040547
2025-06-25,2449.9944,2025-06-26,2417.3407,-99.17,-0.015299
2025-06-29,2436.9879,2025-07-02,2403.9274,-99.17,-0.015537
2025-07-03,2571.7152,2025-08-01,3696.3909,2729.85,0.434453
2025-08-05,3723.0606,2025-08-06,3610.3539,-290.32,-0.032210
2025-08-07,3684.9516,2025-08-19,4311.6731,1463.17,0.167738
2025-08-21,4338.4081,2025-08-22,4223.5872,-289.40,-0.028411
2025-08-23,4834.1158,2025-08-26,4374.5916,-958.66,-0.096867
2025-08-27,4602.7002,2025-08-28,4504.8864,-207.42,-0.023207
2025-09-04,4452.5151,2025-09-05,4295.4712,-324.76,-0.037198
2025-09-11,4352.1650,2025-09-17,4499.0294,266.29,0.031680
2025-09-18,4592.5051,2025-09-20,4466.8655,-254.10,-0.029301
2025-09-30,4216.8674,2025-10-01,4143.2274,-163.53,-0.019426
2025-10-02,4350.5042,2025-10-10,4366.0159,12.88,0.001560
2025-10-14,4243.9209,2025-10-15,4122.8675,-251.87,-0.030465
2025-10-25,3936.7074,2025-10-29,3977.7201,67.32,0.008399
2025-11-10,3585.2917,2025-11-12,3416.5509,-395.81,-0.048969
2025-11-25,2954.8067,2025-12-02,2797.3506,-424.17,-0.055180
2025-12-03,2997.6381,2025-12-06,3020.3291,40.36,0.005557
2025-12-07,3039.6090,2025-12-13,3083.0477,89.57,0.012264
2025-12-22,3003.5710,2025-12-24,2963.4176,-113.40,-0.015340
2025-12-31,2975.2269,2026-01-09,3105.1467,302.69,0.041582
2026-01-12,3125.0718,2026-01-13,3094.1122,-90.11,-0.011885
2026-01-14,3326.9526,2026-01-20,3187.6054,-328.14,-0.043799
2026-01-28,3027.3529,2026-01-30,2821.1687,-501.25,-0.069969
2026-02-15,2087.7433,2026-02-16,1965.6067,-402.31,-0.060383
2026-02-26,2058.5287,2026-02-28,1928.8451,-406.11,-0.064870
2026-03-03,2028.5137,2026-03-07,1977.8006,-157.76,-0.026948
2026-03-10,1994.2466,2026-03-20,2136.7511,394.86,0.069317
2026-03-24,2153.1260,2026-03-27,2059.1299,-277.56,-0.045566
2026-04-01,2106.6628,2026-04-03,2056.0714,-150.95,-0.025965
2026-04-06,2111.0550,2026-04-20,2262.4882,394.08,0.069592
2026-04-21,2314.7368,2026-04-25,2313.9225,-14.23,-0.002349
2026-04-27,2370.5447,2026-04-28,2302.5681,-185.00,-0.030616
2026-05-03,2318.3286,2026-05-08,2290.4042,-82.12,-0.014019
2026-05-10,2327.5932,2026-05-13,2273.8925,-144.52,-0.025023
2026-06-15,1726.5228,2026-06-19,1710.2744,-64.14,-0.011390
2026-06-21,1741.6504,2026-06-22,1706.2964,-123.90,-0.022257
2026-06-23,1729.2242,2026-06-24,1666.3664,-208.33,-0.038276
2026-07-03,1701.4503,2026-07-24,1877.4108,529.81,0.101213
2026-07-27,1955.9075,2026-07-28,1891.6237,-200.59,-0.034799
2026-07-29,1922.9710,2026-08-01,1861.8086,-187.73,-0.033741
2026-08-06,1910.1846,2026-08-11,1872.2534,-117.28,-0.021816
2026-08-18,1914.6168,2026-09-02,2417.5106,1368.02,0.260137
2026-09-04,2508.6637,2026-09-06,2513.5126,-0.46,-0.000069
